,id,title,author,day,genre,story,platform,thumb
131,132,입양된 며느리는 파양을 준비합니다,"햇님달님,녜,채유화",일,로판,"남주 데미안을 괴롭히다 고아원에서 쫓겨나는
원생1 엘리의 몸에 빙의했다.
남주의 양부가 될 슈에츠 공작이 데미안을 찾는 데 일조하고
목숨만 부지하고자 했으나…

""저 아이도 함께 입양하지. 며느리로 들일 거다.""

네? 며느리? 며느리라고요??

당황스럽지만 여주인공 등장 전까지만
데미안을 조금 더 지켜주려 했다.

그런데 이젠―

""엘리, 정부는 안 돼.
난 질투가 많아서 그 자식을 죽여버릴지도 몰라.""
""내 생각도 마찬가지다, 엘리. 바람은 안 돼.""

데미안과 공작의 반응이 점점 더 심상치 않다?!

단역1 엘리의 사랑 넘치는 공작가 입양기,
<입양된 며느리는 파양을 준비합니다>",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=K0nVk/hzKk07h8JQ/QM76TpGWrp9cdd25AstKp1&filename=th3
132,133,나를 버려주세요,"코타비,채로,자은향",일,로판,"희귀병에 걸려 죽은 공녀를 대신해 입양 된 아델.
평생을 사랑받기 위해 애썼지만, 여동생이 태어나자마자 버려지고
정략결혼을 하러 가던 길에 의문의 적들에게 암살 당해 죽고 만다.

""혹시 이거 꿈인가?""

그런데 눈을 뜨니, 왜인지 3년 전 과거로 돌아왔다!
어차피 여동생이 태어나면 버려질 운명이기에, 이번 생에서는 마음대로
살아 보려고 하는데, 어쩐지 자꾸만 인생이 꼬여간다.

""저에게 흥미가 있으셨던 것 아니었습니까?""

게다가 정체불명의 검은 기사는 자꾸만 그녀를 찾아오는데...",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=gfqRb/hzwBrEfU4t/ku8mG6Z7JTEZWnDxIfd8Ek&filename=th3
133,134,역대급 창기사의 회귀,"조후상,스튜디오 이너스,조선생님",일,소년,"무패의 창기사.
기사는 검을 써야만 한다는 고정관념을 철저히 깨부순 
공작 가문의 빛나는 별. 제국의 오랜 내전을 일시에 종식시킨 대영웅. 
그 이름은 바로 '조슈아 샌더스'.

황제의 역대 최강의 창이라고도 불리는 그가 명성에 어울리지 않는     
검붉은 피를 울컥거리고 있었다. 다른 누구도 아닌 자신의 주군, 
카이사르 황제의 손에 의해...
""카이사르, 이렇게 끝날 거라 생각하지 마라!!""
폭발 마법진에 의해 죽음을 앞둔 그 순간, 수십 년을 함께 해온 창 
'루기아'가 엄청난 기운을 내뿜기 시작하는데...
낯이 익은 이곳은 설마... 어렸을 때 살던 마구간?
몸도 어려졌잖아?! 루기아 너 대체 정체가 뭐야?

다시 유년시절로 돌아온 조슈아! 그의 사이다 복수극이 시작된다!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=eHZcv/hyZ8xJTyO2/as1UpGYxoYFJHaIBx7bAj0&filename=th3
134,135,달려라 메일,"캐롯툰,엘리아냥",일,로판,"""나는 경국지색이잖아.
그럼 내 미모 때문에 나라가 망해야겠네?""

백치미 공주가 나라를 멸망시키는 꿈을 꾸게 된 
공작 영애 메일.

구국의 사명감을 가지고,
얼굴은 예쁘지만 뇌 주름이 부족한 백치미 공주를 따라
제국에서 열리는 황후 간택전에 참여하게 된다. 

그러던 어느 날,
정원 덕후의 본능에 이끌려 들어간 정원에서
가면을 쓴 남자를 만나게 되는데…….

""정말 황제가 자주 오는 정원이라는 걸 몰랐나?""
""폐하께서 그 정도로 한가하신가요?""

그런데…

'왜 황제가 정원에서 나와?!
가면남(?)이 일러바친 거 아니야?'

과연 메일은 황후 간택전을 무사히 치르고
나라를 구할 수 있을까?",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=zFcxT/hzHNwnbwLv/AoXv2KKV4HSEVAGio8pTKK&filename=th3
135,136,데뷔 못 하면 죽는 병 걸림,"장진,소흔,백덕수",일,드라마,"4년 차 공시생,
낯선 몸에 빙의해 3년 전으로 돌아왔다.

그리고 그의 눈앞에 나타난 갑작스러운 상태창의 압박!

[돌발!]
[상태이상: '데뷔가 아니면 죽음을!' 발생!]

돌연사 위협 때문에
팔자에도 없던 아이돌에 도전하게 된
주인공의 대환장 일지.

※특이사항: 빙의 전 아이돌 데이터 찍어다 팔았었음",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bvwO93/hzR1R9UHRP/QqOJVxVNfxphsBbNTmXOJK&filename=th3
136,137,소꿉친구를 폭군으로 키웠습니다,"정선,랑채",일,로판,"“황좌 같은 건 관심 없어.”

소설 속 남주의 폭군 스위치인 「단명하는 소꿉친구」로 빙의했다. 
나는 소설 내용대로 그를 대신해 죄를 뒤집어 쓰고 죽었고,
이제 현실로 돌아갈 수 있을 거라 생각했는데… 

“……왜 다시 열 살로 돌아온 거지?!”

그것도 그렇고 나의 폭군 꿈나무가 착해도 너무 착하잖아!
제이드의 부드러운 미소 이면의 스산한 눈동자.
아무래도 이 녀석, 뭔가 아는 것 같다.",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=YfuNa/hzVqM4R2Zs/umBe6wCXfEESMh8IHatSl0&filename=th3
137,138,죽음 대신 결혼,"도개비,밀",일,웹툰,"다른 조직의 아들과 계약 결혼을 해야 한다고?!
평온한 일상을 위해 대학 입학 후 싸움만 일삼는 집안과는 연을 완전히 끊고 바르게 살아가고 있는 아가씨, 양혜진.
손부터 먼저 나가는 폭력적인 아버지와 그를 똑 닮은 무식한 오빠를 떠난 지도 9년째,
하지만 가족들은 갑자기 나타나 원하지도 않는 상대 무강과의 결혼을 일방적으로 알린다. 
조직 간의 계약으로 이루어진 정략 결혼,
받아들이지 않으면 죽음 뿐인 이 결혼에서 과연 혜진과 무강은 평생을 맹세할 수 있을까?",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=m6FAL/hzHNzZvXFV/C5e3XKeR8dIRWUeqVwaR0K&filename=th3
138,139,상태창 보는 아기 황녀님,"로지,서리,유리솜사탕",일,로판,"[매주 일요일 연재]

악녀로 억울하게 몰려 처형당하고,
다섯 살로 회귀했다.

그날부터 이상한 파란 창이 보인다.
다른 사람의 속마음을 보여 주는 파란 창.

	[아데르안 에르벨도테]
	직업: 황제 (Lv. 99)
	호감: 90,980,984
	감정: ♡딸♡이 보, 고, 싶, 음

……아버지?
저를 싫어하는 게 아니었나요…?

	[데미안 에르벨도테]
	감정: ♡동생♡을 보니 설렘
	생각: 말 걸고 싶다 ㅠ^ㅠ

	[카르멘 카셀로프]
	감정: 무척 설렘
	생각: 뭐지, 천사인가? 너무 귀엽잖아~!!

항상 차가웠던 오라버니의 상태창도,
나를 늘 경멸했던 마탑주 카르멘의 상태창도
전부 이상하다.

다들 날 싫어하는 줄 알았는데, 아니었잖아?!

상태창에 적힌 문구들이 사실이라면
이번엔 조금 다른 삶을 살 수 있을지도 몰라…!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=csf6X/hyoXxS3iip/naPSyTQCK7kwQ23vaUCJe1&filename=th3
139,140,"영웅, 회귀하다","앤트스튜디오,윤군,흑아인",일,소년,"인류 최강의 영웅, 김성인
모든 것을 내던지며 분투했지만
결국…… 세상의 멸망은 막지 못했다

하지만 그의 전설은 이제 시작이었으니
성인, 20년 전으로 회귀하다!

“이번에는…… 반드시 잡는다.”

압도적인 재능과 경험으로 무장한 완전체
영웅의 레이드는 아직 끝나지 않았다!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=gZhie/hzab3L9LGZ/iJqLSm0GvAjwMVD4DkkSk1&filename=th3
140,141,아는 만큼 느끼는,"임글씨,황이들",완결,웹툰,"섹스만 빼면 완벽한 부부, 섹스를 빼면 아무것도 없는 부부. 
어느 날, 옆집 언니와 영혼이 바뀌었다.

근데 이 남자, 
내게 생애 첫 오르가즘을 느끼게 한다.

미친다… 나 어떡하지?


“아내의 의무는 섹스가 아니라 오르가즘이야.”


무엇이 부부를 지탱하는가. 정신인가, 육체인가!?",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bvJYBj/hzN2ffdOqC/wM0LmMtt36zvBczdiid2l1&filename=th3
