,id,title,author,day,genre,story,platform,thumb
144,145,아마도,마파체,완결,스릴러,"""내가 하는 말 절대로 믿지마. 믿기지도 않겠지만..""
해안가 시골 마을로 좌천된 강력계 형사 '무강'은 미스터리한 시체의 진실을 밝히기 위해 '아마도'로 향한다. 
그 곳에서 마주하게 된 미지의 종교와 함께, 사건의 실마리는 점점 더 꼬여만 가는데...",네이버 웹툰,https://image-comic.pstatic.net/webtoon/791058/thumbnail/thumbnail_IMAG21_3688559386884584497.jpg
145,146,적월의 나라,박신,완결,액션,"일종의 초능력인 글리아 능력을 가진 조직원들을 동원,
대통령조차 무릎 꿇게 만드는 절대 조직 ‘적월’!
이 나라는 이미 ‘적월의 나라’다.

악의 근원인 적월을 무너뜨릴 방법을 찾던 정부는
적월 총수 신영우에 버금가는 글리아 잠재력을 지닌 류시환을 발견하고,
그의 피를 이용하여 젊어지는 신약을 개발한다.

그 신약으로 과거의 신영우를 궁지에 몰아넣었던 전대의 고수들,
4대 악인을 전성기 시절로 되돌리는데…

4대 악인은 과연 류시환의 잠재력을 끌어올려서
적월을 무너뜨릴 수 있을 것인가?",네이버 웹툰,https://image-comic.pstatic.net/webtoon/789664/thumbnail/thumbnail_IMAG21_7364905132283607138.jpg
146,147,고삼무쌍,B급달궁,완결,액션,"오로지 인생엔 운동과 공부뿐인 장삼봉.
어느 날 갑자기 돌아가신 할머니가 전설의 무림 정파 당주?
손주에게 남긴 비급을 찾기 위해 학교를 찾아오는 무림 고수들.
과연 그는 꿈꾸는 대학에 진학할 수 있을 것인가?!
천 년간 사라진 무림이 현대 고등학교를 배경으로 되살아난다!
무림인들의 고교습격! 장르파괴 무협학원액션",네이버 웹툰,https://image-comic.pstatic.net/webtoon/728126/thumbnail/thumbnail_IMAG21_7148391724836479793.jpg
147,148,범이올시다!,해,완결,일상,"호통치는 영희 할머니와 무뚝뚝 소녀 방실이 앞에 나타난 정체불명의 고양... 아니 호랑이? 
옛날 옛적 어느 산속 마을, 인간 소녀 '방실이'가 친구들과 함께 신통방통한 아기 호랑이 '범이'를 키우게 되면서 일어나는 다양한 일상 이야기! 
그러나 이 평범한 일상 속에 감춰져 있던 신묘한 사실들이 하나둘씩 밝혀지기 시작하는데?!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/745589/thumbnail/thumbnail_IMAG21_6bf46fde-79f2-431a-b4e6-cd2183bb015a.jpg
148,149,천하제일인,권순규,완결,무협/사극,"걸렸다하면 영혼까지 탈탈 털어 
참교육 시켜주시는 화악골 심부름꾼, 소마.
가공할 마령성의 위협으로부터 화악골을 지켜야 하는데...

?지킬 수... 있을까??",네이버 웹툰,https://image-comic.pstatic.net/webtoon/751207/thumbnail/thumbnail_IMAG21_051bb61f-1996-4082-871c-6f04ff279c11.jpg
149,150,간 떨어지는 출근,나,완결,일상,"본 컨텐츠는 <간 떨어지는 동거> 나 작가가 들려주는 요기요의 브랜드 웹툰 이야기입니다.
신입 듀오 요조이와 이담의 환장 케미와 함께 두근두근 오피스 라이프가 펼쳐집니다.",네이버 웹툰,https://image-comic.pstatic.net/webtoon/804370/thumbnail/thumbnail_IMAG21_6ec52b13-80a5-4fb7-9dbf-2dd7e188e4c6.jpg
150,151,온새미로,여우,완결,로맨스,"배우 지망생 해리는 특집 드라마 ‘무영탑’ 오디션 준비를 위해 방문한 
국립 부여 박물관에서 신비로운 분위기의 백제 유물 ‘금동대향로’에 이끌린다.
해리로 인해 금동대향로 속에 갇혀 있던 천신의 아들 ‘온새미로’가 깨어나고, 멈춰져 있던 인연의 굴레가 다시 움직이기 시작한다.",네이버 웹툰,https://image-comic.pstatic.net/webtoon/745472/thumbnail/thumbnail_IMAG21_11e424ae-7225-4d54-9cb4-63f4d9a6bbb3.jpg
151,152,대신 심부름을 해다오,고아라,완결,드라마,"요괴도 있고 사랑도 있고 비밀도 있는 마을, 의양리. 
이곳에서 나고 자란 은호는 스무살이 되었고
산 속에서 20년 동안 잠들어있던 도깨비가 깨어났다. 
은호의 소중한 친구를 지키기 위해서는 할 일이 있다는데...?
가까워지는 인연들에 대한 따뜻한 감성 판타지!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/769551/thumbnail/thumbnail_IMAG21_3617628762170143538.jpg
152,153,이중 나선,한나,완결,드라마,"분위기 안좋기로 악명높은 대학원 연구실의 석사 2학년 강이채.
넘쳐나는 일과 외골수인 성격탓에 하루하루가 긴장의 연속이다.
이런 생활을 겨우 버틸 수 있는 것은 모두 남자친구인 성주원 덕분.
누가 봐도 완벽한 그에게 너무 의존하게 되는 것은 아닌가 하는 생각에 점점 부담을 느끼지만
그런 마음을 털어놓을 곳이 없어 무당‘소율’에게 위안을 받는게 고작이다.
그러던 어느 날 이채를 궁지에 몰리게 한 사람이 바로‘주원’이라는 정황이 포착되는데...
본격적으로 가면을 벗으며 이채를 지배하려는 주원과 그에게서 이채를 지키려는 소율 사이에서
과연 이채의 미래는..?",네이버 웹툰,https://image-comic.pstatic.net/webtoon/797107/thumbnail/thumbnail_IMAG21_527f96d8-13da-46c4-91ec-d4a8ae2c9ede.jpg
153,154,남편 먹는 여자,나나은,완결,드라마,"잘생기고, 돈도 많고, 다정한 남편을 둔 성미인.
그녀는 모든 여자들의 부러움을 받으며 행복한 결혼 생활을 하고 있었다.
그러던 어느 날 미인은 남편의 이상한 행위를 보게 되고,
그녀가 남편을 의심하면서 완벽해 보였던 결혼생활에 금이 가기 시작한다.",네이버 웹툰,https://image-comic.pstatic.net/webtoon/794154/thumbnail/thumbnail_IMAG21_7005690301766646114.jpg
154,155,도사 가온,김상민,완결,판타지,도사가 되고픈 소년 가온과 무명도사의 도술액션 모험판타지!,네이버 웹툰,https://image-comic.pstatic.net/webtoon/733277/thumbnail/thumbnail_IMAG21_3762867875337430064.jpg
155,156,깜찍이 해피데이,문나영,완결,일상,"'뭐? 5반의 한경이가 나를 좋아한다고?' 
올해 11살, 우울한 사춘기가 드디어 찾아왔어. 
나, 이우린이에겐 잘난 척 대마왕 중학생 오빠가 한 명, 
때론 천사 때론 악마로 둔갑하는 일곱 살 여동생이 한 명이야! 
우당탕탕 정신없는 날들의 연속이지만.. 그래도 괜찮아! 
나에겐 남자친구 한경이가 있거든! 
난, 어떤 위기에도 내 꿈과 사랑을 지키고 말 거야!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/805436/thumbnail/thumbnail_IMAG21_fb1f337f-e2e6-4a29-b5dd-09ce605ca8e2.jpg
156,157,터치터치 그대,손팡,완결,로맨스,"“그만 귀찮게 하고 마시던 우유나 더 마시지?”
생애 첫 실연에 복수를 꿈꾼 10살 준희. 탐나는 오빠 이준을 건 내기에 당당히 이겨 계약서까지 작성한다.
그로부터 12년 후, 장난 같은 계약이 진짜가 되어 돌아오는데…….
용한 선녀보살의 한마디로 다시 시작된 악연.“사주 센 남녀끼리 알아서 지지고 볶고 하라고 해. 두 사람 사주궁합은 철천지원수이거나, 천생연분이겠지!”

죽은 약혼녀 귀신을 떼어내기 위해 결혼해야 하는 남자 강이준과, 
비명횡사를 피하기 위해 결혼해야 하는 여자 백준희의 은밀하고 아찔한 터치터치 밀당 로맨스!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/805670/thumbnail/thumbnail_IMAG21_3dc18a89-bb1a-45b3-9730-18f653ddd64c.jpg
157,158,아홉수 우리들휴재,수박양,완결,로맨스,"연애, 직장, 시험 어느 하나 뜻대로 되지 않는 29살 봉우리, 차우리, 김우리. 
제대로 걸렸다! 아.홉.수!
우리들의 팩트폭행 로맨틱 코미디!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/724815/thumbnail/thumbnail_IMAG21_6710a409-b23f-414e-842a-5543c4334573.jpg
158,159,잿빛도 색이다,쿼시,완결,드라마,"평범한 회사원 '지호'는 무기력증으로 여자친구 '솔빈'과의 연애도 무료하게 느껴지고..
그 때 새로움과 짜릿함을 갖고 있는 ‘신생’ 유튜버 ‘은율’을 알게 되면서
감정이 폭죽처럼 빠르게 터져나간다.
“이러면 안되는데.. 안되는데..” 하면서도 마음이 자꾸 그 쪽으로 가는데..",네이버 웹툰,https://image-comic.pstatic.net/webtoon/786189/thumbnail/thumbnail_IMAG21_3690476939492538673.jpg
159,160,견우와 선녀,안수민,완결,드라마,"죽음이 가까워진 사람들은 '거꾸로' 걸어들어 온다
그리고 그게 하필 내 이상형이라니!?",네이버 웹툰,https://image-comic.pstatic.net/webtoon/740034/thumbnail/thumbnail_IMAG21_4122589587559375417.jpg
