0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:25 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:25 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:25 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:25 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:28 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99841
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:28 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99862
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:10 +0900] "GET /AFO1/src/main/webapp/logo/AFO_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:11 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99862
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:11 +0900] "GET /AFO1/src/main/webapp/logo/AFO_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99862
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/src/main/webapp/logo/AFO_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99862
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/src/main/webapp/logo/AFO_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99862
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:12 +0900] "GET /AFO1/src/main/webapp/logo/AFO_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:18 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99862
