127.0.0.1 - - [27/Jan/2023:23:18:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:18:30 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 19781
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:18:30 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:18:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 17783
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:25 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:26 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 25077
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:26 +0900] "GET /AFO1/fix/WebtoonCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:19:26 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 17783
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:20:37 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:09 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:10 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:11 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14757
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:12 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14757
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:23 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:29 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14757
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:31 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:23:32 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14757
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:24:00 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14758
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:24:41 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14732
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:24:50 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 25077
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:26:16 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 25063
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:26:25 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 14732
0:0:0:0:0:0:0:1 - - [27/Jan/2023:23:27:16 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 25063
