127.0.0.1 - - [16/Feb/2023:10:45:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:35 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18329
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:35 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:35 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:39 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:39 +0900] "GET /AFO1/css_folder/signin.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:41 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:42 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18335
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:44 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:45 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:45 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:48 +0900] "POST /AFO1/bbs.jsp HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:50 +0900] "GET /AFO1/view.jsp?bbsID=13 HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:50 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:51 +0900] "POST /AFO1/update.jsp?bbsID=13 HTTP/1.1" 200 7009
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:52 +0900] "POST /AFO1/updateAction.jsp?bbsID=13 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:53 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:55 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/bbs.jsp?pageNumber=1 HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 12972
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:57 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:59 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 26072
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:59 +0900] "GET /AFO1/fix/WebtoonCSS.css HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:45:59 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 18177
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:46:00 +0900] "GET /AFO1/contents.jsp HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:46:00 +0900] "GET /AFO1/css_folder/ContentsCSS.css HTTP/1.1" 200 560
