127.0.0.1 - - [07/Apr/2023:16:28:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:28:57 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18329
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:28:57 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:28:57 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:28:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:00 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:00 +0900] "GET /AFO1/css_folder/signin.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:02 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:02 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18452
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:13 +0900] "GET /AFO1/contents.jsp HTTP/1.1" 200 7047
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:13 +0900] "GET /AFO1/css_folder/ContentsCSS.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:17 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:20 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:25 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:28 +0900] "GET /AFO1/view.jsp?bbsID=5 HTTP/1.1" 200 7577
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:32 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:51 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:53 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:53 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:53 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:53 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:29:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2023:16:30:03 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12315
