127.0.0.1 - - [27/Apr/2023:17:28:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Apr/2023:17:28:58 +0900] "GET /AFO1/index.jsp HTTP/1.1" 500 2665
0:0:0:0:0:0:0:1 - - [27/Apr/2023:17:28:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Apr/2023:17:29:09 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100136
0:0:0:0:0:0:0:1 - - [27/Apr/2023:17:29:09 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [27/Apr/2023:17:29:09 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [27/Apr/2023:17:34:21 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100136
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:13 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:13 +0900] "GET /AFO1/css_folder/signin.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:14 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:16 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100259
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:20 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13473
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:28 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:34:30 +0900] "GET /AFO1/bbs.jsp?pageNumber=3 HTTP/1.1" 200 9882
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:39:59 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 15603
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:40:48 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100259
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:07 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13473
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:13 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:14 +0900] "GET /AFO1/bbs.jsp?pageNumber=3 HTTP/1.1" 200 9882
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:16 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:22 +0900] "GET /AFO1/bbs.jsp?pageNumber=3 HTTP/1.1" 200 9882
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:24 +0900] "GET /AFO1/view.jsp?bbsID=16 HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:35 +0900] "GET /AFO1/view.jsp?bbsID=16 HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:36 +0900] "GET /AFO1/view.jsp?bbsID=16 HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:36 +0900] "GET /AFO1/view.jsp?bbsID=16 HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:37 +0900] "GET /AFO1/view.jsp?bbsID=16 HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:37 +0900] "GET /AFO1/view.jsp?bbsID=16 HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:40 +0900] "GET /AFO1/bbs.jsp?pageNumber=3 HTTP/1.1" 200 9883
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:47 +0900] "GET /AFO1/view.jsp?bbsID=17 HTTP/1.1" 200 12068
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:51 +0900] "GET /AFO1/bbs.jsp?pageNumber=3 HTTP/1.1" 200 9883
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:41:56 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:42:03 +0900] "GET /AFO1/view.jsp?bbsID=23 HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:42:06 +0900] "GET /AFO1/bbs.jsp?pageNumber=1 HTTP/1.1" 200 13473
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:42:13 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 27030
0:0:0:0:0:0:0:1 - - [27/Apr/2023:18:42:13 +0900] "GET /AFO1/fix/WebtoonCSS.css HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:01:59 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 27030
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:02:04 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100259
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:02:07 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:02:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100136
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:09:32 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100136
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:11:27 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 90820
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:14:08 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100136
0:0:0:0:0:0:0:1 - - [27/Apr/2023:19:14:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
