127.0.0.1 - - [02/Jan/2023:20:20:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10373
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:20:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:28:38 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10373
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:28:38 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10373
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:28:39 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10360
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:29:21 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:25 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:26 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10589
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:27 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10589
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:27 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10589
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:28 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10589
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:30 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:30 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10589
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:31 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:31:32 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10589
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:15 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:16 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:16 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:17 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:18 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:19 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:19 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:20 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:20 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:21 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Jan/2023:20:32:21 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:00:27 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:00:28 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 10357
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:00:29 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 10357
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:04:08 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:04:08 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:04:09 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:07:47 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:12:54 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:13:46 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:13:48 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:26:01 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:26:02 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:26:03 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:26:06 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:26:06 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:28:35 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10483
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:28:37 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10483
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:28:37 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10483
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:28:37 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10483
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:28:37 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10483
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:30:02 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 10671
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:30:36 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:52:10 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 16775
0:0:0:0:0:0:0:1 - - [02/Jan/2023:21:54:40 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 16844
