127.0.0.1 - - [13/Feb/2023:00:11:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18212
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:26 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:27 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:29 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18212
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:30 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7169
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:32 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:32 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:36 +0900] "POST /AFO1/deleteAction.jsp?bbsID=12 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:36 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7163
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:58 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:11:59 +0900] "GET /AFO1/bbs.jsp?pageNumber=1 HTTP/1.1" 200 7163
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:20:38 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18212
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:20:41 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:20:43 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18212
0:0:0:0:0:0:0:1 - - [13/Feb/2023:00:20:44 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 10347
