127.0.0.1 - - [18/May/2023:17:37:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:09 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:17 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:17 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:18 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:18 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:17:37:20 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:17:39:47 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [18/May/2023:17:39:49 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [18/May/2023:17:39:50 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100067
0:0:0:0:0:0:0:1 - - [18/May/2023:17:39:53 +0900] "GET /AFO1/jjimBbs.jsp?pageNumber=1 HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [18/May/2023:17:39:57 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 100067
0:0:0:0:0:0:0:1 - - [18/May/2023:18:15:36 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [18/May/2023:18:15:38 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 99656
0:0:0:0:0:0:0:1 - - [18/May/2023:18:15:39 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 90498
0:0:0:0:0:0:0:1 - - [18/May/2023:18:15:40 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 99656
0:0:0:0:0:0:0:1 - - [18/May/2023:18:15:41 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
