0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:41:23 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:41:23 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:41:26 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:41:27 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:41:40 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:42:36 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10816
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:42:55 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:44:07 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:44:10 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:44:10 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:44:11 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:45:43 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:45:57 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10835
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:45:59 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10835
